Concentration,Volume
500,4646080
200,3656200
100,1375710
20,367166
10,284801
0,0
100,1246230
500,6411630
500,6363100
200,4465030
100,2114040
20,611490
10,225925
0,0
100,957562
10,266275
500,6006040
500,4903140
200,2504410
200,2007010
200,2925540
200,3205340
200,2265980
200,2504080
100,1118660
10,236093
500,6573260
20,195827
20,294845
20,373018
20,333694
10,200624
500,7304310
100,915818
100,746488
100,625541
500,5186460
200,2434680
100,1367870
20,205010
10,171903
0,0
500,2280680
200,1423000
100,915751
20,173808
0,0
10,190531
500,4716660
