Concentration,Volume
500,4597330
200,3547630
100,1335240
20,280124
10,146838
0,0
100,1175580
500,6256670
500,6278560
200,4333290
100,2093730
20,527247
10,107024
0,0
100,839589
10,137825
500,5816190
500,4742620
200,2339550
200,1969530
200,2777400
200,2979460
200,2196110
200,2340400
100,1002640
10,89160
500,6374900
20,102468
20,179725
20,206492
20,177304
10,77058
500,7112950
100,862503
100,719636
100,609968
500,5050440
200,2471960
100,1360580
20,127236
10,65531
0,0
500,2334460
200,1520110
100,985964
20,227407
0,0
10,318678
500,4838990
